
2022/09/16 (22:03:59) | ===> btop++ v.1.2.9
2022/09/16 (22:03:59) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/16 (22:03:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/17 (17:11:57) | ===> btop++ v.1.2.9
2022/09/17 (17:11:57) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/17 (17:11:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/17 (17:12:27) | ===> btop++ v.1.2.9
2022/09/17 (17:12:27) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/17 (17:12:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/18 (15:59:55) | ===> btop++ v.1.2.9
2022/09/18 (15:59:55) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/18 (15:59:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/18 (16:00:04) | ===> btop++ v.1.2.9
2022/09/18 (16:00:04) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/18 (16:00:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/18 (21:45:26) | ===> btop++ v.1.2.9
2022/09/18 (21:45:26) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/18 (21:45:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/25 (20:26:30) | ===> btop++ v.1.2.9
2022/09/25 (20:26:30) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/09/25 (20:26:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/04 (10:15:50) | ===> btop++ v.1.2.9
2022/10/04 (10:15:50) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.
2022/10/04 (10:15:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
